Commodity,AWND_MIN,AWND_MAX,Snow_MIN,Snow_Max,PRCP_MIN,PRCP_MAX,TAVG_MIN,TAVG_MAX,TMIN_LOW,TMIN_HIGH,TMAX_LOW,TMAX_HIGH
Apples,0,10,0,200,0.5,1,59,68,14,41,77,86
Apricots,0,10,0,150,0.4,0.8,64.4,77,23,41,86,95
Aronia,0,15,50,300,0.5,1,59,68,-22,32,77,86
Barley,0,10,50,200,0.3,0.6,59,64.4,41,50,77,86
Beans,0,10,0,0,0.4,0.6,68,77,50,59,86,95
Blackberries,0,10,50,150,0.8,1.2,55.4,64.4,14,41,77,86
Blueberries,0,10,50,200,0.8,1.2,55.4,64.4,14,41,77,86
Buckwheat,0,10,0,0,0.5,0.7,64.4,71.6,50,59,86,95
Canola,0,10,0,100,0.4,0.6,59,68,41,50,77,86
Cherries,0,10,50,150,0.4,0.6,64.4,77,23,41,86,95
Chestnuts,0,10,50,200,0.6,1,50,68,14,41,77,86
Chickpeas,0,10,0,0,0.3,0.6,64.4,77,41,50,86,95
Corn,0,10,0,0,0.5,0.8,68,86,50,59,86,95
Cranberries,0,10,0,150,0.6,1.2,53.6,59,32,41,68,77
Currants,0,10,50,200,0.8,1,55.4,68,23,41,77,86
Figs,0,10,0,0,0.4,0.6,59,77,41,50,86,95
Gooseberries,0,10,50,200,0.6,1,55.4,68,23,41,77,86
Grapes,0,10,0,50,0.3,0.6,59,77,41,50,86,95
Grasses,0,10,50,200,0.3,0.6,59,68,32,41,77,86
Hay,0,10,50,150,0.4,0.6,59,68,41,50,77,86
Hemp,0,10,0,50,0.4,0.6,64.4,77,50,59,86,95
Herbs,0,10,0,0,0.3,0.5,59,77,50,59,86,95
Honey,0,10,50,200,0.6,1,59,77,41,50,86,95
Hops,0,10,0,0,0.3,0.6,59,68,41,50,77,86
Kiwifruit,0,10,0,0,0.6,0.8,59,68,32,41,77,86
Legumes,0,10,0,0,0.4,0.6,59,77,50,59,86,95
Lentils,0,10,0,0,0.3,0.6,64.4,77,41,50,86,95
Mint,0,10,50,150,0.3,0.6,59,68,41,50,77,86
Oats,0,10,0,100,0.3,0.6,59,68,41,50,77,86
Peaches,0,10,50,150,0.4,0.6,64.4,77,23,41,86,95
